Entrez_id	Maize_v3	Maize_v4	KO	EC	Gene_description
100279867	GRMZM2G139689	Zm00001d015183	K00278	EC1.4.3.16	L-aspartate oxidase chloroplastic
103650090	GRMZM2G142836	Zm00001d040599	K03517	EC2.5.1.72	quinolinate synthase, chloroplastic-like
100382929	GRMZM5G887647	Zm00001d006311	K00767	EC2.4.2.19	uncharacterized LOC100382929
100286133	GRMZM2G046583	Zm00001d025412	K00763	EC6.3.4.21	Nicotinate phosphoribosyltransferase-like protein
103646450	GRMZM2G177561	Zm00001d003675	K00763	EC6.3.4.21	nicotinate phosphoribosyltransferase 2
100274271	GRMZM5G862488	Zm00001d034777	K00763	EC6.3.4.21	Nicotinate phosphoribosyltransferase 2
100284093	GRMZM2G157310	Zm00001d013664	K01081	EC3.1.3.5	uncharacterized LOC100284093
100284704	GRMZM2G102404	Zm00001d011699	K03787	EC3.1.3.5	acid phosphatase
100280755	GRMZM2G037379	Zm00001d043686	K03787	EC3.1.3.5	acid phosphatase
103632103	GRMZM2G025072	Zm00001d019123	K03787	EC3.1.3.5	5'-nucleotidase SurE
100282231	GRMZM2G104999	Zm00001d005343	K01240	EC3.2.2.3	Nucleoside N-ribohydrolase 3
542168	GRMZM2G015344	Zm00001d031958	K01240	EC3.2.2.3	uncharacterized LOC542168
100274097	GRMZM2G085960	Zm00001d049948	K01240	EC3.2.2.3	nucleoside N-ribohydrolase 2
100284011	GRMZM2G402319	Zm00001d051927	K06210	EC2.7.7.18 2.7.7.1	nicotinamide-nucleotide adenylyltransferase 1
100283048	GRMZM2G404897	Zm00001d045394	K03426	EC3.6.1.22	hydrolase, NUDIX family protein
100501566	GRMZM2G049588	Zm00001d005157	K01950	EC6.3.5.1	Glutamine-dependent NAD(+) synthetase
100285591	GRMZM2G138342	Zm00001d042052	K00858	EC2.7.1.23	NAD kinase 1
100281602	GRMZM2G059073	Zm00001d011835	K00858	EC2.7.1.23	NAD kinase 1
103654587	GRMZM2G071023	Zm00001d053076	K00858	EC2.7.1.23	probable NAD kinase 2, chloroplastic
103646963	GRMZM2G046498	Zm00001d004716	K00858	EC2.7.1.23	probable NAD kinase 2, chloroplastic
100193842	GRMZM2G006678	Zm00001d005632	K00858	EC2.7.1.23	uncharacterized LOC100193842
