Entrez_id	Maize_v3	Maize_v4	KO	EC	Gene_description
100384700	GRMZM2G083689	Zm00001d029133	K12882	-	nuclear cap-binding protein subunit 1
100280855	GRMZM2G034804	Zm00001d051065	K12883	-	Nuclear cap-binding protein subunit 2
100283725	GRMZM2G052341	Zm00001d017193	K12883	-	uncharacterized LOC100283725
103646424	GRMZM2G380361	Zm00001d003611	K14328	-	regulator of nonsense transcripts UPF3
103641667	GRMZM2G139419	Zm00001d025461	K14328	-	regulator of nonsense transcripts UPF3-like
100283928	GRMZM5G817255	Zm00001d010901	K12876	-	RNA-binding (RRM/RBD/RNP motifs) family protein
100283893	GRMZM2G072671	Zm00001d034578	K12876	-	RNA-binding protein 8A
100280761	GRMZM5G803275	Zm00001d024787	K12876	-	RNA-binding protein 8A
100280575	GRMZM5G847100	Zm00001d049723	K12877	-	uncharacterized LOC100280575
100279432	GRMZM2G542994	Zm00001d035019	K12877	-	protein mago nashi
732749	GRMZM2G018947	Zm00001d051840	K13025	EC3.6.4.13	RH2 protein-like
103627913	GRMZM2G133764	Zm00001d018542	K13025	EC3.6.4.13	DEAD-box ATP-dependent RNA helicase 2
100381502	GRMZM2G060669	Zm00001d053919	K14324	-	histone deacetylase complex subunit SAP18
100194333	GRMZM2G064988	Zm00001d015058	K14324	-	histone deacetylase complex subunit SAP18
100283191	GRMZM5G810275	Zm00001d033646	K13114	-	pinin/SDK/memA/ protein conserved region containing protein
100191788	GRMZM2G102475	Zm00001d013485	K13114	-	putative pinin_SDK_memA domain family protein
103635858	GRMZM2G113139	Zm00001d029352	K12875	-	formin-like protein 5
100381870	GRMZM2G151387	Zm00001d047191	K12875	-	Putative SAP DNA-binding domain family protein isoform 1
100502129	GRMZM2G427408	Zm00001d022198	K12875	-	SAP domain-containing protein
103636269	GRMZM2G133926	Zm00001d011828	K14325	-	serine/arginine-rich splicing factor SR45-like
103650711	GRMZM2G060540	Zm00001d042040	K14325	-	serine/arginine-rich splicing factor SR45-like
100193488	GRMZM2G140352	Zm00001d019234	K12881	-	THO complex subunit 4B
