Entrez_id	Maize_v3	Maize_v4	KO	EC	Gene_description
100381446	GRMZM2G089944	Zm00001d043348	K01455	EC3.5.1.49	Acetamidase/Formamidase family protein
100274074	GRMZM2G424857	-	K01455	EC3.5.1.49	Pentatricopeptide (PPR) repeat protein-like
100217054	GRMZM2G039463	Zm00001d015870	K01455	EC3.5.1.49	Acetamidase/Formamidase family protein
103635347	-	Zm00001d009610	K01455	EC3.5.1.49	putative formamidase C869.04
606442	GRMZM2G010251	Zm00001d054060	K02575	-	putative high affinity nitrate transporter
542092	GRMZM2G010280	Zm00001d054057	K02575	-	nitrate transport 2
103636218	GRMZM2G455124	Zm00001d011679	K02575	-	high-affinity nitrate transporter 2.3
103642821	GRMZM2G124396	Zm00001d025783	K02575	-	probable high-affinity nitrate transporter 2.4
103626520	GRMZM2G163866	Zm00001d014976	K02575	-	high-affinity nitrate transporter 2.1
103627974	-	-	K02575	-	probable high-affinity nitrate transporter 2.4
109944895	-	Zm00001d044504	K02575	-	probable high-affinity nitrate transporter 2.4
103643134	GRMZM2G076723	-	K10534	EC1.7.1.3 1.7.1.2 1.7.1.1	nitrate reductase [NADH]-like
100383210	GRMZM5G878558	Zm00001d018206	K10534	EC1.7.1.3 1.7.1.2 1.7.1.1	uncharacterized LOC100383210
542278	GRMZM2G568636	Zm00001d049995	K10534	EC1.7.1.3 1.7.1.2 1.7.1.1	nitrate reductase [NADH]-like
103654219	GRMZM2G428027	Zm00001d052139	K10534	EC1.7.1.3 1.7.1.2 1.7.1.1	nitrate reductase [NAD(P)H]
109939975	-	Zm00001d017025	K10534	EC1.7.1.3 1.7.1.2 1.7.1.1	nitrate reductase [NADH] 3
103627781	GRMZM2G102959	Zm00001d018161	K00366	EC1.7.7.1	ferredoxin--nitrite reductase, chloroplastic-like
542264	GRMZM2G079381	Zm00001d052164	K00366	EC1.7.7.1	nitrite reductase2
542573	GRMZM2G178517	Zm00001d017352	K01501	EC3.5.5.1	nitrilase 1
100193614	GRMZM2G427097	Zm00001d025984	K00261	EC1.4.1.3	glutamic dehydrogenase2
542220	GRMZM2G178415	Zm00001d034420	K00261	EC1.4.1.3	glutamic dehydrogenase 1
100502380	GRMZM2G015289	Zm00001d044503	K00262	EC1.4.1.4	Amino acid dehydrogenase family protein
542401	GRMZM2G036464	Zm00001d051804	K01915	EC6.3.1.2	glutamine synthetase 5
542520	GRMZM2G050514	Zm00001d028260	K01915	EC6.3.1.2	glutamine synthetase 6
542400	GRMZM2G024104	Zm00001d033747	K01915	EC6.3.1.2	glutamine synthetase 2
542746	GRMZM2G098290	-	K01915	EC6.3.1.2	glutamine synthetase 1
542214	GRMZM5G872068	Zm00001d017958	K01915	EC6.3.1.2	glutamine synthetase 4
542215	GRMZM2G046601	Zm00001d048050	K01915	EC6.3.1.2	glutamine synthetase 3
103651348	GRMZM2G085078	Zm00001d043845	K00264	EC1.4.1.14 1.4.1.13	glutamate synthase 1 [NADH], chloroplastic
103636185	GRMZM2G077054	Zm00001d011610	K00264	EC1.4.1.14 1.4.1.13	glutamate synthase 1 [NADH], chloroplastic
103630705	GRMZM2G375064	Zm00001d038948	K00264	EC1.4.1.14 1.4.1.13	glutamate synthase 2 [NADH], chloroplastic
542710	GRMZM2G036609	Zm00001d022388	K00284	EC1.4.7.1	ferredoxin-dependent glutamate synthase 1
100284448	GRMZM2G134747	Zm00001d032736	K01725	EC4.2.1.104	Cyanate hydratase
100283312	GRMZM2G145101	Zm00001d020764	K01673	EC4.2.1.1	carbonic anhydrase
100382491	GRMZM2G094165	Zm00001d011454	K01673	EC4.2.1.1	carbonic anhydrase6
100285064	GRMZM2G348512	Zm00001d044096	K01673	EC4.2.1.1	uncharacterized LOC100285064
100274597	GRMZM2G348512	Zm00001d044095	K01673	EC4.2.1.1	carbonic anhydrase
100272439	GRMZM2G414528	Zm00001d005920	K01673	EC4.2.1.1	carbonic anhydrase
100275493	GRMZM2G121878	Zm00001d044099	K01673	EC4.2.1.1	carbonic anhydrase
100384578	GRMZM2G113165	Zm00001d031779	K01674	EC4.2.1.1	alpha carbonic anhydrase 7
100193864	GRMZM2G088208	Zm00001d005844	K01674	EC4.2.1.1	Alpha carbonic anhydrase 4
100384165	GRMZM2G164182	Zm00001d052551	K01674	EC4.2.1.1	Alpha carbonic anhydrase 1 chloroplastic
100272575	GRMZM2G024495	Zm00001d004909	K01674	EC4.2.1.1	Alpha carbonic anhydrase 1 chloroplastic
100274185	GRMZM5G807267	Zm00001d003781	K01674	EC4.2.1.1	Alpha carbonic anhydrase 1 chloroplastic
100282652	GRMZM2G113191	-	K01674	EC4.2.1.1	carbonic anhydrase
100280638	GRMZM2G087259	Zm00001d050011	K01674	EC4.2.1.1	carbonic anhydrase
100279972	GRMZM2G009633	Zm00001d046784	K01674	EC4.2.1.1	uncharacterized LOC100279972
109945688	-	Zm00001d049240	K01674	EC4.2.1.1	alpha carbonic anhydrase 1, chloroplastic-like
