Entrez_id	Maize_v3	Maize_v4	KO	EC	Gene_description
100274415	GRMZM2G422750	Zm00001d052673	K00660	EC2.3.1.74	chalcone synthase
100282642	GRMZM2G151227	Zm00001d007403	K00660	EC2.3.1.74	chalcone synthase
100276821	GRMZM2G155329	Zm00001d034635	K01859	EC5.5.1.6	chalcone flavanone isomerase 1
100275381	GRMZM2G119186	Zm00001d012972	K01859	EC5.5.1.6	uncharacterized LOC100275381
100284018	GRMZM2G175076	Zm00001d044683	K01859	EC5.5.1.6	chalcone--flavonone isomerase
542712	GRMZM2G062396	Zm00001d001960	K00475	EC1.14.11.9	flavanone 3-hydroxylase 1
100272992	GRMZM2G152801	Zm00001d018184	K05278	EC1.14.11.23	uncharacterized LOC100272992
103627785	GRMZM2G069298	Zm00001d018181	K05278	EC1.14.11.23	flavonol synthase/flavanone 3-hydroxylase
100272756	GRMZM2G147245	Zm00001d037849	K00487	EC1.14.13.11	putative cytochrome P450 superfamily protein
100284998	GRMZM2G028677	Zm00001d016471	K00487	EC1.14.13.11	trans-cinnamate 4-monooxygenase
100272801	GRMZM2G139874	Zm00001d009858	K00487	EC1.14.13.11	putative cytochrome P450 superfamily protein
103636555	GRMZM2G010468	Zm00001d012510	K00487	EC1.14.13.11	trans-cinnamate 4-monooxygenase
100273383	GRMZM2G025832	Zm00001d017077	K05280	EC1.14.13.21	uncharacterized LOC100273383
100279887	GRMZM2G160763	-	K05280	EC1.14.13.21	uncharacterized LOC100279887
103653707	-	-	K05280	EC1.14.13.21	flavonoid 3'-monooxygenase
100127010	GRMZM2G345717	Zm00001d014914	K05277	EC1.14.11.19	anthocyaninless 2
103655046	-	Zm00001d048800	K05277	EC1.14.11.19	leucoanthocyanidin dioxygenase
103655843	-	-	K05277	EC1.14.11.19	leucoanthocyanidin dioxygenase-like
100282500	GRMZM2G097841	Zm00001d026370	K08695	EC1.3.1.77	leucoanthocyanidin reductase
100280098	GRMZM2G097854	Zm00001d026369	K08695	EC1.3.1.77	uncharacterized LOC100280098
100191338	GRMZM2G431504	Zm00001d026371	K08695	EC1.3.1.77	Anthocyanidin reductase
103652362	GRMZM2G007053	Zm00001d042594	K08695	EC1.3.1.77	anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like
100194386	GRMZM2G035584	Zm00001d017186	K13065	EC2.3.1.133	Shikimate O-hydroxycinnamoyltransferase
100279386	GRMZM2G158083	-	K13065	EC2.3.1.133	uncharacterized LOC100279386
103649769	-	Zm00001d039840	K13065	EC2.3.1.133	putrescine hydroxycinnamoyltransferase 1
103649821	GRMZM2G107211	Zm00001d039952	K13065	EC2.3.1.133	putrescine hydroxycinnamoyltransferase 1
100304329	GRMZM2G178769	Zm00001d039956	K13065	EC2.3.1.133	shikimate O-hydroxycinnamoyltransferase
100281073	GRMZM2G131165	Zm00001d032148	K13065	EC2.3.1.133	anthranilate N-benzoyltransferase protein 1
100279982	GRMZM2G156816	Zm00001d039837	K13065	EC2.3.1.133	Spermidine hydroxycinnamoyl transferase
100279986	GRMZM2G176446	Zm00001d039833	K13065	EC2.3.1.133	Spermidine hydroxycinnamoyl transferase
109942262	-	Zm00001d045092	K13065	EC2.3.1.133	hydroxycinnamoyltransferase 4-like
109942297	-	Zm00001d045091	K13065	EC2.3.1.133	hydroxycinnamoyltransferase 4-like
103649816	GRMZM2G132678	Zm00001d039947	K13065	EC2.3.1.133	putrescine hydroxycinnamoyltransferase 1-like
100382972	GRMZM2G051005	Zm00001d018367	K13065	EC2.3.1.133	Spermidine hydroxycinnamoyl transferase
100284063	GRMZM2G089698	Zm00001d050455	K13065	EC2.3.1.133	uncharacterized LOC100284063
100284770	GRMZM2G156296	-	K13065	EC2.3.1.133	uncharacterized LOC100284770
100274269	GRMZM2G127251	Zm00001d037073	K13065	EC2.3.1.133	hydroxycinnamoyltransferase3
103649031	GRMZM2G510303	-	K09754	EC1.14.13.36	cytochrome P450 98A1
100191539	GRMZM2G138074	Zm00001d043174	K09754	EC1.14.13.36	putative cytochrome P450 superfamily protein
100274274	GRMZM2G140817	Zm00001d038555	K09754	EC1.14.13.36	putative cytochrome P450 superfamily protein
100272982	GRMZM2G013726	Zm00001d011438	K13082	EC1.1.1.234 1.1.1.219	anthocyaninless 4
100286107	GRMZM2G026930	Zm00001d044122	K13082	EC1.1.1.234 1.1.1.219	Dihydroflavonol-4-reductase
107282093	GRMZM2G127948	Zm00001d036293	K00588	EC2.1.1.104	Caffeoyl-CoA O-methyltransferase1
