Entrez_id	Maize_v3	Maize_v4	KO	EC	Gene_description
541648	GRMZM2G181362	Zm00001d052079	K14157	EC1.5.1.9 1.5.1.8	lysine-ketoglutarate reductase/saccharopine dehydrogenase 1
103646581	-	Zm00001d003983	K14085	EC1.2.1.3 1.2.1.8 1.2.1.31	aldehyde dehydrogenase family 7 member A1
100282748	GRMZM2G130440	Zm00001d005818	K14085	EC1.2.1.3 1.2.1.8 1.2.1.31	aldehyde dehydrogenase family 7 member A1
103641646	-	Zm00001d025417	K14085	EC1.2.1.3 1.2.1.8 1.2.1.31	aldehyde dehydrogenase family 7 member A1-like
103653517	-	Zm00001d050495	K14085	EC1.2.1.3 1.2.1.8 1.2.1.31	aldehyde dehydrogenase family 7 member A1-like
103634912	-	Zm00001d008814	K14085	EC1.2.1.3 1.2.1.8 1.2.1.31	aldehyde dehydrogenase family 7 member A1-like
100383579	GRMZM2G142863	Zm00001d003947	K00164	EC1.2.4.2	2-oxoglutarate dehydrogenase E1 component
100383412	GRMZM2G151169	Zm00001d036328	K00164	EC1.2.4.2	uncharacterized LOC100383412
100383847	GRMZM2G151041	Zm00001d025240	K00164	EC1.2.4.2	2-oxoglutarate dehydrogenase E1 component
100280624	GRMZM2G079538	Zm00001d025258	K00658	EC2.3.1.61	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
100284269	GRMZM5G807639	Zm00001d003923	K00658	EC2.3.1.61	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
100274017	GRMZM5G860137	Zm00001d008432	K00626	EC2.3.1.9	acetyl-CoA acetyltransferase, cytosolic 2
100282283	GRMZM5G866758	Zm00001d029416	K00626	EC2.3.1.9	acetyl-CoA acetyltransferase, cytosolic 1
101202696	GRMZM2G085474	Zm00001d031212	K00626	EC2.3.1.9	acetyl-CoA acetyltransferase, cytosolic 1
103640265	GRMZM5G830250	Zm00001d047224	K00626	EC2.3.1.9	acetyl-CoA acetyltransferase, cytosolic 1
100283462	GRMZM2G052266	-	K00306	EC1.5.3.7 1.5.3.1	uncharacterized LOC100283462
100273204	-	Zm00001d042035	K00306	EC1.5.3.7 1.5.3.1	putative sarcosine oxidase
103635090	GRMZM2G428628	Zm00001d009134	K00306	EC1.5.3.7 1.5.3.1	probable sarcosine oxidase
103643335	GRMZM2G074094	-	K11420	EC2.1.1.43	uncharacterized LOC103643335
103647380	GRMZM2G300955	Zm00001d005650	K11420	EC2.1.1.43	Histone-lysine N-methyltransferase H3 lysine-9 specific SUVH5
103647308	GRMZM2G025924	-	K11420	EC2.1.1.43	histone-lysine N-methyltransferase family member SUVH2
100280164	-	-	K11420	EC2.1.1.43	uncharacterized LOC100280164
541980	GRMZM2G139710	Zm00001d043135	K11420	EC2.1.1.43	uncharacterized LOC541980
542085	GRMZM2G140577	Zm00001d010646	K11420	EC2.1.1.43	uncharacterized LOC542085
542102	GRMZM2G117458	Zm00001d038541	K11420	EC2.1.1.43	SET domain protein SDG111
542089	GRMZM2G054380	Zm00001d011956	K11420	EC2.1.1.43	Histone-lysine N-methyltransferase H3 lysine-9 specific SUVH4
542090	GRMZM2G021044	-	K11420	EC2.1.1.43	SET domain-containing protein SET104
103650383	GRMZM2G416913	Zm00001d041005	K11420	EC2.1.1.43	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1
100383674	GRMZM2G336909	Zm00001d042272	K11420	EC2.1.1.43	putative histone-lysine N-methyltransferase family protein
100382441	GRMZM2G165011	-	K11420	EC2.1.1.43	uncharacterized LOC100382441
103649276	-	Zm00001d006693	K11420	EC2.1.1.43	wall-associated receptor kinase 2-like
100282875	GRMZM2G033694	Zm00001d005563	K11423	EC2.1.1.43	histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20specific
542662	GRMZM2G130910	Zm00001d020038	K11423	EC2.1.1.43	uncharacterized LOC542662
100194312	GRMZM2G067019	Zm00001d051057	K11423	EC2.1.1.43	putative SET-domain containing protein family
100193433	GRMZM2G047695	Zm00001d044101	K19199	EC2.1.1.43	uncharacterized LOC100193433
100273862	GRMZM2G357972	-	K11433	EC2.1.1.43	uncharacterized LOC100273862
541955	GRMZM2G043484	Zm00001d028890	K11430	EC2.1.1.43	enhancer of zeste 3
541954	GRMZM2G157820	Zm00001d036296	K11430	EC2.1.1.43	enhancer of zeste 1
542659	GRMZM5G875502	Zm00001d047636	K11430	EC2.1.1.43	enhancer of zeste 2
100273874	GRMZM2G147534	Zm00001d047940	K18826	EC2.1.1.60	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein
100281700	GRMZM2G060800	Zm00001d000116	K00128	EC1.2.1.3	aldehyde dehydrogenase, dimeric NADP-preferring
732806	GRMZM2G058675	Zm00001d045706	K00128	EC1.2.1.3	restorer of fertility 2
100284774	GRMZM2G155502	Zm00001d025958	K00128	EC1.2.1.3	aldehyde dehydrogenase 3B1
100382449	GRMZM2G118800	Zm00001d004731	K00128	EC1.2.1.3	Aldehyde dehydrogenase
542567	GRMZM2G125268	Zm00001d051754	K00128	EC1.2.1.3	aldehyde dehydrogenase 2
100285809	GRMZM2G103546	Zm00001d023580	K00128	EC1.2.1.3	aldehyde dehydrogenase, dimeric NADP-preferring
100280692	GRMZM2G169458	Zm00001d017418	K00128	EC1.2.1.3	uncharacterized LOC100280692
